PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
1,3,"Braund, Mr. Owen Harris",1,22,1,0,A/5 21171,7.25,G,S,0
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38,1,0,PC 17599,71.2833,C,C,1
3,3,"Heikkinen, Miss. Laina",0,26,0,0,STON/O2. 3101282,7.925,G,S,1
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35,1,0,113803,53.1,C,S,1
5,3,"Allen, Mr. William Henry",1,35,0,0,373450,8.05,G,S,0
6,3,"Moran, Mr. James",1,,0,0,330877,8.4583,G,Q,0
7,1,"McCarthy, Mr. Timothy J",1,54,0,0,17463,51.8625,E,S,0
8,3,"Palsson, Master. Gosta Leonard",1,2,3,1,349909,21.075,F,S,0
9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,27,0,2,347742,11.1333,G,S,1
10,2,"Nasser, Mrs. Nicholas (Adele Achem)",0,14,1,0,237736,30.0708,T,C,1
11,3,"Sandstrom, Miss. Marguerite Rut",0,4,1,1,PP 9549,16.7,G,S,1
12,1,"Bonnell, Miss. Elizabeth",0,58,0,0,113783,26.55,C,S,1
13,3,"Saundercock, Mr. William Henry",1,20,0,0,A/5. 2151,8.05,G,S,0
14,3,"Andersson, Mr. Anders Johan",1,39,1,5,347082,31.275,T,S,0
15,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,14,0,0,350406,7.8542,G,S,0
16,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,55,0,0,248706,16,F,S,1
17,3,"Rice, Master. Eugene",1,2,4,1,382652,29.125,T,Q,0
18,2,"Williams, Mr. Charles Eugene",1,,0,0,244373,13,G,S,1
19,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,31,1,0,345763,18,F,S,0
20,3,"Masselmani, Mrs. Fatima",0,,0,0,2649,7.225,G,C,1
21,2,"Fynney, Mr. Joseph J",1,35,0,0,239865,26,F,S,0
22,2,"Beesley, Mr. Lawrence",1,34,0,0,248698,13,D,S,1
23,3,"McGowan, Miss. Anna ""Annie""",0,15,0,0,330923,8.0292,G,Q,1
24,1,"Sloper, Mr. William Thompson",1,28,0,0,113788,35.5,A,S,1
25,3,"Palsson, Miss. Torborg Danira",0,8,3,1,349909,21.075,F,S,0
26,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,38,1,5,347077,31.3875,T,S,1
